YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2019,6,22158,24688,Car Gurus
2017,8,79298,17934,Car Gurus
2023,2,14577,25232,Car Gurus
2013,12,93785,12707,Car Gurus
2022,3,54234,21113,Car Gurus
2015,10,100374,12555,Car Gurus
2015,10,142276,8998,Car Gurus
2023,2,33752,26113,Car Gurus
2020,5,36840,22997,Car Gurus
2017,8,67905,15888,Car Gurus
2023,2,29061,21726,Car Gurus
2012,13,88586,11500,Car Gurus
2013,12,20276,36224,Car Gurus
2017,8,96947,15758,Car Gurus
2020,5,45857,19944,Car Gurus
2011,14,50159,20317,Car Gurus
2012,13,94064,12495,Car Gurus
2024,1,2187,76199,Car Gurus
2016,9,134342,12518,Car Gurus
2019,6,27115,36888,Car Gurus
