Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
01/17/2025,Friday,2.25,For Bus,Travel,Cash,Need
01/17/2025,Friday,6,Ramen,Food,Cash,Need
01/18/2025,Saturday,4.5,Day Pass for bus,Travel,Cash,Need
01/18/2025,Saturday,2,copy paper,Entertainment and Recreation,Debit,Need
01/18/2025,Saturday,10,Chipotle,Food,Cash,Need
01/18/2025,Saturday,2.5,Note Book,Entertainment and Recreation,Cash,Want
01/19/2025,Sunday,3,For Coca-Cola,Food,Cash,Want
01/19/2025,Sunday,4,Protein Bar,Food,Cash,Need
01/19/2025,Sunday,4,Water Bottle,Food,Cash,Need
01/20/2025,Monday,4.5,Day Pass for bus,Travel,Cash,Need
01/20/2025,Monday,8,Lunch,Food,Cash,Need
01/21/2025,Tuesday,4.5,Day Pass for bus,Travel,Cash,Need
01/21/2025,Tuesday,8,Lunch,Food,Cash,Need
